NodeId,SiteId,UtcStageId,Occurrences,InterstageTotal,InterstageAverage,GreenTotal,GreenAverage,StartTimestamp,EndTimestamp,PeriodId,StageTotal,Cycles,TotalTime,coverage,OccurrenceFactor,AdjustedGreenAverage,AdjustedInterstageAverage,CycleTime,ScootCycleTime,ScootGreenTime,ScootInterstageTime,FinalGreenTime,FinalInterstageTime
N00/005,J00/005,G6,36,326,9.055555556,212,5.888888889,0 days 08:00:00,0 days 09:00:00,AM,538,39,3608,1.002222222,0.923076923,5.435897436,8.358974359,92.51282051,96,5.640798226,8.67405765,6,9
N00/005,J00/138,G1,12,87,7.25,2340,195,0 days 08:00:00,0 days 09:00:00,AM,2427,12,2549,0.708055556,1,195,7.25,212.4166667,120,110.1608474,4.095723813,110,4
N00/005,J00/138,G2,11,54,4.909090909,68,6.181818182,0 days 08:00:00,0 days 09:00:00,AM,122,12,2549,0.708055556,0.916666667,5.666666667,4.5,212.4166667,120,3.201255394,2.542173401,3,3
N00/006,J00/006,G1,29,262,9.034482759,1005,34.65517241,0 days 08:00:00,0 days 09:00:00,AM,1267,31,3558,0.988333333,0.935483871,32.41935484,8.451612903,114.7741935,112,31.63575042,8.247329961,32,8
N00/006,J00/006,G2,30,179,5.966666667,270,9,0 days 08:00:00,0 days 09:00:00,AM,449,31,3558,0.988333333,0.967741935,8.709677419,5.774193548,114.7741935,112,8.49915683,5.634626194,7,6
N00/006,J00/006,G3,30,209,6.966666667,247,8.233333333,0 days 08:00:00,0 days 09:00:00,AM,456,31,3558,0.988333333,0.967741935,7.967741935,6.741935484,114.7741935,112,7.775154581,6.578976953,8,7
N00/006,J00/006,G4,31,152,4.903225806,1234,39.80645161,0 days 08:00:00,0 days 09:00:00,AM,1386,31,3558,0.988333333,1,39.80645161,4.903225806,114.7741935,112,38.84429455,4.784710512,39,5
N00/006,J00/122,G1,29,435,15,569,19.62068966,0 days 08:00:00,0 days 09:00:00,AM,1004,30,3487,0.968611111,0.966666667,18.96666667,14.5,116.2333333,120,19.58130198,14.96988816,20,15
N00/006,J00/122,G2,29,493,17,880,30.34482759,0 days 08:00:00,0 days 09:00:00,AM,1373,30,3487,0.968611111,0.966666667,29.33333333,16.43333333,116.2333333,120,30.28391167,16.96587324,30,17
N00/006,J00/122,G3,28,280,10,200,7.142857143,0 days 08:00:00,0 days 09:00:00,AM,480,30,3487,0.968611111,0.933333333,6.666666667,9.333333333,116.2333333,120,6.882707198,9.635790077,7,10
N00/006,J00/122,G4,30,450,15,180,6,0 days 08:00:00,0 days 09:00:00,AM,630,30,3487,0.968611111,1,6,15,116.2333333,120,6.194436478,15.4860912,6,15
N00/006,J00/123,G1,31,269,8.677419355,2727,87.96774194,0 days 08:00:00,0 days 09:00:00,AM,2996,31,3602,1.000555556,1,87.96774194,8.677419355,116.1935484,120,90.84952804,8.961687951,91,9
N00/006,J00/123,G2,30,207,6.9,399,13.3,0 days 08:00:00,0 days 09:00:00,AM,606,31,3602,1.000555556,0.967741935,12.87096774,6.677419355,116.1935484,120,13.29261521,6.896168795,13,7
N00/006,J00/134,G1,30,80,2.666666667,678,22.6,0 days 08:00:00,0 days 09:00:00,AM,758,60,3602,1.000555556,0.5,11.3,1.333333333,60.03333333,60,11.29372571,1.332593004,11,1
N00/006,J00/134,G3,31,178,5.741935484,1212,39.09677419,0 days 08:00:00,0 days 09:00:00,AM,1390,60,3602,1.000555556,0.516666667,20.2,2.966666667,60.03333333,60,20.18878401,2.965019434,20,3
