8,1,H,5
Phase Delays - end
Detection - start
Detection - end
Phase type and conditions - start
A,VICTORIA EMBANKMENT E/B,T,0,0,
B,VICTORIA EMBANKMENT W/B,T,0,0,
C,CYCLES TOWARDS VICTORIA EMBANKMENT TUNNEL,T,0,0,
D,CYCLES INTO TEMPLE AVENUE,T,0,0,
E,PEDS X VICTORIA EMBANKMENT,P,0,0,
F,NOT USED,F,,,
G,VICTORIA EMBANKMENT E/B @ SLIP RD,T,0,0,
H,VICTORIA EMBANKMENT W/B @ SLIP RD,T,0,0,
I,CYCLES TEMPLE AVENUE \t\t\t\t\t\t\t\t\t\t\t\t\t,T,0,0,
J,CYCLES FROM BFRS UNDERPASS,T,0,0,
K,CYCLES E/B @ 00/138\t\t\t\t\t\t\t\t\t\t\t\t\t,T,0,0,
L,CYCLES W/B @ 00/138\t\t\t\t\t\t\t\t\t\t\t\t\t,T,0,0,
M,PEDS X CYCLE TRACK @ 00/138\t\t\t\t\t\t\t\t\t\t\t\t\t,P,0,0,
N,ALL RED DUMMY STREAM 0 00/005\t\t\t\t\t\t\t\t\t\t\t\t\t,D,0,0,
O,ALL RED DUMMY STREAM 1 00/138\t\t\t\t\t\t\t\t\t\t\t\t\t,D,0,0,
P,DUMMY PHASE FOR SITE EXIT IN STAGE 2\t\t\t\t\t\t\t\t\t\t\t\t\t,D,0,0,
Q,UTC DUMMY STAGE 3\t\t\t\t\t\t\t\t\t\t\t\t\t,D,0,0,
R,UTC DUMMY STAGE 4,D,0,0,
S,UTC DUMMY STAGE 5,D,0,0,
T,UTC DUMMY STAGE 6\t\t\t\t\t\t\t\t\t\t\t\t,D,0,0,
U,UTC DUMMY STAGE 7\t\t\t\t\t\t\t\t\t\t\t\t,D,0,0,
V,UTC DUMMY STAGE 8\t\t\t\t\t\t\t\t\t\t\t,D,0,0,
W,UTC DUMMY STAGE 12, IN STREAM 1\t\t\t\t\t\t\t\t\t\t\t\t\t,D,0,0,
X,UTC DUMMY STAGE 13, IN STREAM 1\t\t\t\t\t\t\t\t\t\t\t\t\t,D,0,0,
Phase type and conditions - end
Bus Priority - start
1,1,,,,,,,,,,,,
2,2,,,,,,,,,,,,
3,3,,,,,,,,,,,,
4,4,,,,,,,,,,,,
5,5,,,,,,,,,,,,
6,6,,,,,,,,,,,,
7,7,,,,,,,,,,,,
8,8,,,,,,,,,,,,
9,9,,,,,,,,,,,,
10,10,,,,,,,,,,,,
11,11,,,,,,,,,,,,
12,12,,,,,,,,,,,,
13,13,,,,,,,,,,,,
Bus Priority - end
Stage Movements Under UTC Control - start
Stage Movements Under UTC Control - end
Prohibited Stages - start
Prohibited Stages - end
Phase Stage Demand Dependency - start
11,M,X
2,C,X
2,D,X
2,E,X
2,I,X
2,J,X
Phase Stage Demand Dependency - end
Linked Sites - start
Link Number,Link To Ped Controller On Site,Stage or Phase,Trigger Point,Memory,Link Delay Time,Inhibit Release Period,Override Time
Linked Sites - end
Comments - start
Version No,18
Linking,CLF
Comments,TFL SPEC ISSUE 18.  **2ND OTU AT 00/505.**
Detection,IRDs - PUSH BUTTONS / TACTILES - PED COUNTDOWN - VEHICLE SCOOT - CYCLE SCOOT
Amendments,SITE COMMS MIGRATED TO CAPITA SERVICES. 04-NOV-2022 DTA_BM
Comments - end
